tag_ident,gender,date,hour,season,day-month,distance
3897,f,9/26/2015,0,Autumn,26-Sep,30.38716689
3897,f,9/26/2015,1,Autumn,26-Sep,69.74220523
3897,f,9/26/2015,2,Autumn,26-Sep,39.52886784
3897,f,9/26/2015,3,Autumn,26-Sep,83.79499891
3897,f,9/26/2015,19,Autumn,26-Sep,279.5972746
3897,f,9/26/2015,20,Autumn,26-Sep,1284.03132
3897,f,9/26/2015,21,Autumn,26-Sep,2827.985642
3897,f,9/26/2015,22,Autumn,26-Sep,97.23614546
3897,f,9/26/2015,23,Autumn,26-Sep,39.81626535
3897,f,9/27/2015,0,Autumn,27-Sep,79.29378456
3897,f,9/27/2015,1,Autumn,27-Sep,184.9127194
3897,f,9/27/2015,2,Autumn,27-Sep,65.54879351
3897,f,9/27/2015,3,Autumn,27-Sep,1461.190691
3897,f,9/27/2015,19,Autumn,27-Sep,156.1199943
3897,f,9/27/2015,20,Autumn,27-Sep,1181.053927
3897,f,9/27/2015,21,Autumn,27-Sep,1342.803497
3897,f,9/27/2015,22,Autumn,27-Sep,790.9892392
3897,f,9/27/2015,23,Autumn,27-Sep,1859.309914
3897,f,9/28/2015,0,Autumn,28-Sep,2726.98224
3897,f,9/28/2015,1,Autumn,28-Sep,959.4666674
3897,f,9/28/2015,2,Autumn,28-Sep,643.1066655
3897,f,9/28/2015,3,Autumn,28-Sep,1069.695012
3897,f,9/28/2015,19,Autumn,28-Sep,1798.581158
3897,f,9/28/2015,20,Autumn,28-Sep,1429.375597
3897,f,9/28/2015,21,Autumn,28-Sep,1139.055314
3897,f,9/28/2015,22,Autumn,28-Sep,1976.915085
3897,f,9/28/2015,23,Autumn,28-Sep,1354.667394
3897,f,9/29/2015,0,Autumn,29-Sep,1485.146633
3897,f,9/29/2015,1,Autumn,29-Sep,441.5973823
3897,f,9/29/2015,2,Autumn,29-Sep,792.8461741
3897,f,9/29/2015,3,Autumn,29-Sep,614.9125876
3897,f,10/20/2015,19,Autumn,20-Oct,155.514964
3897,f,10/20/2015,20,Autumn,20-Oct,1095.697247
3897,f,10/20/2015,21,Autumn,20-Oct,69.5771039
3897,f,10/20/2015,22,Autumn,20-Oct,426.8930582
3897,f,10/20/2015,23,Autumn,20-Oct,411.7191067
3897,f,10/21/2015,0,Autumn,21-Oct,234.827919
3897,f,10/21/2015,1,Autumn,21-Oct,38.5342274
3897,f,10/21/2015,2,Autumn,21-Oct,212.9155148
3897,f,10/21/2015,3,Autumn,21-Oct,77.6356072
3897,f,10/21/2015,19,Autumn,21-Oct,74.83019692
3897,f,10/21/2015,20,Autumn,21-Oct,64.00252004
3897,f,10/21/2015,21,Autumn,21-Oct,592.9113978
3897,f,10/21/2015,22,Autumn,21-Oct,924.1135858
3897,f,10/21/2015,23,Autumn,21-Oct,40.65279126
3897,f,10/22/2015,0,Autumn,22-Oct,108.4403669
3897,f,10/22/2015,1,Autumn,22-Oct,41.03986814
3897,f,10/22/2015,2,Autumn,22-Oct,26.0493234
3897,f,10/22/2015,3,Autumn,22-Oct,60.91636064
3897,f,10/22/2015,19,Autumn,22-Oct,32.14045188
3897,f,10/22/2015,20,Autumn,22-Oct,254.342816
3897,f,10/22/2015,21,Autumn,22-Oct,78.22320128
3897,f,10/22/2015,22,Autumn,22-Oct,614.1132899
3897,f,10/22/2015,23,Autumn,22-Oct,131.3765143
3897,f,10/23/2015,0,Autumn,23-Oct,63.59785756
3897,f,10/23/2015,1,Autumn,23-Oct,55.42080928
3897,f,10/23/2015,2,Autumn,23-Oct,74.01456552
3897,f,10/23/2015,3,Autumn,23-Oct,38.63199327
3897,f,10/23/2015,19,Autumn,23-Oct,1230.374818
3897,f,10/23/2015,20,Autumn,23-Oct,938.7438849
3897,f,10/23/2015,21,Autumn,23-Oct,1459.359849
3897,f,10/23/2015,22,Autumn,23-Oct,1196.577097
3897,f,10/23/2015,23,Autumn,23-Oct,1754.241155
3897,f,10/24/2015,0,Autumn,24-Oct,707.0297299
3897,f,10/24/2015,1,Autumn,24-Oct,1568.95374
3897,f,10/24/2015,2,Autumn,24-Oct,409.2046731
3897,f,10/24/2015,3,Autumn,24-Oct,19.10241385
3897,f,10/24/2015,19,Autumn,24-Oct,757.6474947
3897,f,10/24/2015,20,Autumn,24-Oct,404.976415
3897,f,10/24/2015,21,Autumn,24-Oct,681.3762975
3897,f,10/24/2015,22,Autumn,24-Oct,1321.215005
3897,f,10/24/2015,23,Autumn,24-Oct,137.7635691
3897,f,10/25/2015,0,Autumn,25-Oct,35.99885726
3897,f,10/25/2015,1,Autumn,25-Oct,78.66001049
3897,f,10/25/2015,2,Autumn,25-Oct,45.0853627
3897,f,10/25/2015,3,Autumn,25-Oct,1275.753275
3897,f,10/25/2015,19,Autumn,25-Oct,266.6358492
3897,f,10/25/2015,20,Autumn,25-Oct,1998.096456
3897,f,10/25/2015,21,Autumn,25-Oct,375.8924012
3897,f,10/25/2015,22,Autumn,25-Oct,2353.063744
3897,f,10/25/2015,23,Autumn,25-Oct,537.0852563
3897,f,10/26/2015,0,Autumn,26-Oct,198.7516455
3897,f,10/26/2015,1,Autumn,26-Oct,18.38877712
3897,f,10/26/2015,2,Autumn,26-Oct,47.93352948
3897,f,10/26/2015,3,Autumn,26-Oct,1073.673609
3897,f,10/26/2015,19,Autumn,26-Oct,740.020605
3897,f,10/26/2015,20,Autumn,26-Oct,1449.496998
3897,f,10/26/2015,21,Autumn,26-Oct,984.5560839
3897,f,10/26/2015,22,Autumn,26-Oct,1740.949154
3897,f,10/26/2015,23,Autumn,26-Oct,330.2529466
3897,f,10/27/2015,0,Autumn,27-Oct,1747.929456
3897,f,10/27/2015,1,Autumn,27-Oct,1362.108509
3897,f,10/27/2015,2,Autumn,27-Oct,636.6430581
3897,f,10/27/2015,3,Autumn,27-Oct,1306.885333
3897,f,10/27/2015,19,Autumn,27-Oct,492.1057191
3897,f,10/27/2015,20,Autumn,27-Oct,734.416518
3897,f,10/27/2015,21,Autumn,27-Oct,1646.298692
3897,f,10/27/2015,22,Autumn,27-Oct,1573.486267
3897,f,10/27/2015,23,Autumn,27-Oct,348.0418972
3897,f,10/28/2015,0,Autumn,28-Oct,217.8218864
3897,f,10/28/2015,1,Autumn,28-Oct,115.977186
3897,f,10/28/2015,2,Autumn,28-Oct,149.6862451
3897,f,10/28/2015,3,Autumn,28-Oct,206.1065455
3897,f,10/28/2015,19,Autumn,28-Oct,523.2649963
3897,f,10/28/2015,20,Autumn,28-Oct,396.7312813
3897,f,10/28/2015,21,Autumn,28-Oct,426.5711643
3897,f,10/28/2015,22,Autumn,28-Oct,942.0990143
3897,f,10/28/2015,23,Autumn,28-Oct,180.1019234
3897,f,10/29/2015,0,Autumn,29-Oct,452.1194132
3897,f,10/29/2015,1,Autumn,29-Oct,302.141478
3897,f,10/29/2015,2,Autumn,29-Oct,207.55596
3897,f,10/29/2015,3,Autumn,29-Oct,191.2402475
3897,f,10/29/2015,19,Autumn,29-Oct,282.6084618
3897,f,10/29/2015,20,Autumn,29-Oct,104.3478548
3897,f,10/29/2015,21,Autumn,29-Oct,33.68568715
3897,f,10/29/2015,22,Autumn,29-Oct,1604.916628
3897,f,10/29/2015,23,Autumn,29-Oct,307.1708633
3897,f,10/30/2015,0,Autumn,30-Oct,32.0006719
3897,f,10/30/2015,1,Autumn,30-Oct,532.9595052
3897,f,10/30/2015,2,Autumn,30-Oct,52.01917735
3897,f,10/30/2015,3,Autumn,30-Oct,301.1837448
3897,f,10/30/2015,19,Autumn,30-Oct,1421.665047
3897,f,10/30/2015,20,Autumn,30-Oct,640.575476
3897,f,10/30/2015,21,Autumn,30-Oct,261.8944921
3897,f,10/30/2015,22,Autumn,30-Oct,33.07374774
3897,f,10/30/2015,23,Autumn,30-Oct,200.5063237
3897,f,10/31/2015,0,Autumn,31-Oct,841.7818092
3897,f,10/31/2015,1,Autumn,31-Oct,855.7847191
