tag_ident,Gender,Date,Hour,Distance,Season,month-day
1750,f,5/27/2011,0,1062.544826,Spring,27-May
1750,f,5/27/2011,1,292.0309752,Spring,27-May
1750,f,5/27/2011,2,240.1695642,Spring,27-May
1750,f,5/27/2011,3,72.44187192,Spring,27-May
1750,f,5/27/2011,4,1.090154552,Spring,27-May
1750,f,5/27/2011,17,52.2514386,Spring,27-May
1750,f,5/27/2011,18,45.45187107,Spring,27-May
1750,f,5/27/2011,19,245.2760531,Spring,27-May
1750,f,5/27/2011,20,110.3262923,Spring,27-May
1750,f,5/27/2011,21,223.3706757,Spring,27-May
1750,f,5/27/2011,22,124.6705711,Spring,27-May
1750,f,5/27/2011,23,18.36437145,Spring,27-May
1750,f,5/28/2011,0,48.63562312,Spring,28-May
1750,f,5/28/2011,1,37.92899805,Spring,28-May
1750,f,5/28/2011,2,61.82508903,Spring,28-May
1750,f,5/28/2011,3,201.4860789,Spring,28-May
1750,f,5/28/2011,4,0.867317246,Spring,28-May
1750,f,5/28/2011,17,132.2320277,Spring,28-May
1750,f,5/28/2011,18,40.92702122,Spring,28-May
1750,f,5/28/2011,19,485.6037389,Spring,28-May
1750,f,5/28/2011,20,237.3114981,Spring,28-May
1750,f,5/28/2011,21,125.107912,Spring,28-May
1750,f,5/28/2011,22,65.03927224,Spring,28-May
1750,f,5/28/2011,23,69.5671242,Spring,28-May
1750,f,5/29/2011,0,84.14775189,Spring,29-May
1750,f,5/29/2011,1,427.636763,Spring,29-May
1750,f,5/29/2011,2,10.07985612,Spring,29-May
1750,f,5/29/2011,3,308.3593799,Spring,29-May
1750,f,5/29/2011,4,2.530967797,Spring,29-May
1750,f,5/29/2011,17,104.4189348,Spring,29-May
1750,f,5/29/2011,18,135.8586105,Spring,29-May
1750,f,5/29/2011,19,386.6700698,Spring,29-May
1750,f,5/29/2011,20,393.7500267,Spring,29-May
1750,f,5/29/2011,21,214.7810278,Spring,29-May
1750,f,5/29/2011,22,2206.886552,Spring,29-May
1750,f,5/29/2011,23,988.5182155,Spring,29-May
1750,f,5/30/2011,0,1420.630475,Spring,30-May
1750,f,5/30/2011,1,99.08122612,Spring,30-May
1750,f,5/30/2011,2,72.51217989,Spring,30-May
1750,f,5/30/2011,3,76.87344825,Spring,30-May
1750,f,5/30/2011,17,204.2888733,Spring,30-May
1750,f,5/30/2011,18,40.97531098,Spring,30-May
1750,f,5/30/2011,19,468.2231812,Spring,30-May
1750,f,5/30/2011,20,1211.637472,Spring,30-May
1750,f,5/30/2011,21,19.70153145,Spring,30-May
1750,f,5/30/2011,22,40.40194715,Spring,30-May
1750,f,5/30/2011,23,623.9765115,Spring,30-May
1750,f,5/31/2011,0,313.5208841,Spring,31-May
1750,f,5/31/2011,1,894.574171,Spring,31-May
1750,f,5/31/2011,2,68.32855173,Spring,31-May
1750,f,5/31/2011,3,56.75057002,Spring,31-May
1750,f,5/31/2011,17,77.48033977,Spring,31-May
1750,f,5/31/2011,18,76.26733622,Spring,31-May
1750,f,5/31/2011,19,20.96398045,Spring,31-May
1750,f,5/31/2011,20,182.3139222,Spring,31-May
1750,f,5/31/2011,21,204.5038035,Spring,31-May
1750,f,5/31/2011,22,2419.39072,Spring,31-May
1750,f,5/31/2011,23,99.42207831,Spring,31-May
1750,f,6/1/2011,0,140.139969,Spring,1-Jun
1750,f,6/1/2011,1,44.72609971,Spring,1-Jun
1750,f,6/1/2011,2,90.94501258,Spring,1-Jun
1750,f,6/1/2011,3,132.1623711,Spring,1-Jun
1750,f,6/1/2011,17,43.33287639,Spring,1-Jun
