,tag_ident,Gender,arbDate,Distance,season,day-month
245,1753,f,11/10/2012,3126.490562,Autumn,10-Nov
246,1753,f,11/11/2012,1426.515338,Autumn,11-Nov
247,1753,f,11/12/2012,3312.182994,Autumn,12-Nov
248,1753,f,11/13/2012,1502.869849,Autumn,13-Nov
249,1753,f,11/14/2012,3490.986476,Autumn,14-Nov
250,1753,f,11/15/2012,3519.814411,Autumn,15-Nov
251,1753,f,11/16/2012,2949.526302,Autumn,16-Nov
252,1753,f,11/17/2012,1756.757979,Autumn,17-Nov
253,1753,f,11/18/2012,3057.326247,Autumn,18-Nov
254,1753,f,11/19/2012,1822.648969,Autumn,19-Nov
255,1753,f,11/20/2012,6821.350876,Autumn,20-Nov
256,1753,f,11/21/2012,5806.426581,Autumn,21-Nov
257,1753,f,11/22/2012,2263.651627,Autumn,22-Nov
258,1753,f,11/23/2012,923.6834442,Autumn,23-Nov
259,1753,f,11/24/2012,6232.292817,Autumn,24-Nov
260,1753,f,11/25/2012,2426.907723,Autumn,25-Nov
261,1753,f,11/26/2012,1716.143492,Autumn,26-Nov
262,1753,f,11/27/2012,5945.251698,Autumn,27-Nov
263,1753,f,11/28/2012,9305.964402,Autumn,28-Nov
264,1753,f,11/29/2012,10278.18761,Autumn,29-Nov
265,1753,f,11/30/2012,6380.583185,Autumn,30-Nov
266,1753,f,12/1/2012,2431.181179,Autumn,1-Dec
267,1753,f,12/2/2012,4119.992237,Autumn,2-Dec
268,1753,f,12/3/2012,1418.307586,Autumn,3-Dec
269,1753,f,12/4/2012,3804.629502,Autumn,4-Dec
270,1753,f,12/5/2012,689.5209069,Autumn,5-Dec
271,1753,f,12/6/2012,2787.658068,Autumn,6-Dec
272,1753,f,12/7/2012,1780.967782,Autumn,7-Dec
273,1753,f,12/8/2012,4415.791486,Autumn,8-Dec
274,1753,f,12/9/2012,4031.500392,Autumn,9-Dec
275,1753,f,12/10/2012,6163.24802,Autumn,10-Dec
276,1753,f,12/11/2012,960.6746593,Autumn,11-Dec
277,1753,f,12/12/2012,4815.907673,Autumn,12-Dec
278,1753,f,12/13/2012,1683.603519,Autumn,13-Dec
279,1753,f,12/14/2012,1569.068406,Autumn,14-Dec
280,1753,f,12/15/2012,3431.863417,Autumn,15-Dec
281,1753,f,12/16/2012,1247.062762,Autumn,16-Dec
282,1753,f,12/17/2012,1160.089398,Autumn,17-Dec
283,1753,f,12/18/2012,683.8480609,Autumn,18-Dec
284,1753,f,12/19/2012,3461.594903,Autumn,19-Dec
285,1753,f,12/20/2012,1634.492263,Autumn,20-Dec
286,1753,f,12/21/2012,2431.102682,Autumn,21-Dec
287,1753,f,12/22/2012,1746.103071,Winter,22-Dec
288,1753,f,12/23/2012,647.2504294,Winter,23-Dec
289,1753,f,12/24/2012,4272.513722,Winter,24-Dec
290,1753,f,12/25/2012,591.170342,Winter,25-Dec
291,1753,f,12/26/2012,1227.834944,Winter,26-Dec
292,1753,f,12/27/2012,5772.80992,Winter,27-Dec
293,1753,f,12/28/2012,4891.311558,Winter,28-Dec
294,1753,f,12/29/2012,3586.935053,Winter,29-Dec
295,1753,f,12/30/2012,3658.210817,Winter,30-Dec
296,1753,f,12/31/2012,1380.054236,Winter,31-Dec
297,1753,f,1/1/2013,2391.908641,Winter,1-Jan
298,1753,f,1/2/2013,6231.878308,Winter,2-Jan
299,1753,f,1/3/2013,607.4977844,Winter,3-Jan
300,1753,f,1/4/2013,1077.541897,Winter,4-Jan
301,1753,f,1/5/2013,2105.065586,Winter,5-Jan
302,1753,f,1/6/2013,1565.748723,Winter,6-Jan
303,1753,f,1/7/2013,3233.038209,Winter,7-Jan
304,1753,f,1/8/2013,3536.887348,Winter,8-Jan
305,1753,f,1/9/2013,1401.812929,Winter,9-Jan
306,1753,f,1/10/2013,890.79406,Winter,10-Jan
307,1753,f,1/11/2013,1207.85218,Winter,11-Jan
308,1753,f,1/12/2013,3592.947095,Winter,12-Jan
309,1753,f,1/13/2013,3312.934644,Winter,13-Jan
310,1753,f,1/14/2013,5749.517873,Winter,14-Jan
311,1753,f,1/15/2013,3722.174902,Winter,15-Jan
312,1753,f,1/16/2013,3085.909137,Winter,16-Jan
313,1753,f,1/17/2013,1499.113391,Winter,17-Jan
314,1753,f,1/18/2013,2166.620889,Winter,18-Jan
315,1753,f,1/19/2013,7788.503651,Winter,19-Jan
316,1753,f,1/20/2013,4228.940892,Winter,20-Jan
317,1753,f,1/21/2013,2815.966003,Winter,21-Jan
318,1753,f,1/22/2013,6622.034373,Winter,22-Jan
319,1753,f,1/23/2013,2635.531638,Winter,23-Jan
320,1753,f,1/24/2013,2633.523279,Winter,24-Jan
321,1753,f,1/25/2013,6891.540298,Winter,25-Jan
322,1753,f,1/26/2013,4155.644987,Winter,26-Jan
323,1753,f,1/27/2013,4641.937375,Winter,27-Jan
324,1753,f,1/28/2013,4259.306859,Winter,28-Jan
325,1753,f,1/29/2013,4113.0584,Winter,29-Jan
326,1753,f,1/30/2013,6701.790456,Winter,30-Jan
327,1753,f,1/31/2013,66.46035358,Winter,31-Jan
328,1753,f,2/1/2013,1199.430072,Winter,1-Feb
329,1753,f,2/2/2013,6085.329517,Winter,2-Feb
330,1753,f,2/3/2013,1484.635084,Winter,3-Feb
331,1753,f,2/4/2013,9667.447132,Winter,4-Feb
332,1753,f,2/5/2013,2988.751275,Winter,5-Feb
333,1753,f,2/6/2013,2141.555295,Winter,6-Feb
334,1753,f,2/7/2013,3197.054954,Winter,7-Feb
335,1753,f,2/8/2013,4141.450194,Winter,8-Feb
336,1753,f,2/9/2013,6563.740259,Winter,9-Feb
337,1753,f,2/10/2013,3310.845817,Winter,10-Feb
338,1753,f,2/11/2013,1191.559701,Winter,11-Feb
339,1753,f,2/12/2013,4041.078089,Winter,12-Feb
340,1753,f,2/13/2013,1960.713339,Winter,13-Feb
341,1753,f,2/14/2013,1648.16284,Winter,14-Feb
342,1753,f,2/15/2013,857.6769173,Winter,15-Feb
343,1753,f,2/16/2013,2756.743496,Winter,16-Feb
344,1753,f,2/17/2013,7939.012209,Winter,17-Feb
345,1753,f,2/18/2013,5325.447299,Winter,18-Feb
346,1753,f,2/19/2013,1988.69554,Winter,19-Feb
347,1753,f,2/20/2013,7653.992483,Winter,20-Feb
348,1753,f,2/21/2013,1229.698587,Winter,21-Feb
349,1753,f,2/22/2013,5242.096948,Winter,22-Feb
350,1753,f,2/23/2013,5057.619359,Winter,23-Feb
351,1753,f,2/24/2013,2699.900235,Winter,24-Feb
352,1753,f,2/25/2013,4202.07787,Winter,25-Feb
353,1753,f,2/26/2013,4612.51602,Winter,26-Feb
354,1753,f,2/27/2013,3437.754692,Winter,27-Feb
355,1753,f,2/28/2013,5444.945657,Winter,28-Feb
356,1753,f,3/1/2013,5044.718244,Winter,1-Mar
357,1753,f,3/2/2013,1873.603942,Winter,2-Mar
358,1753,f,3/3/2013,6846.563264,Winter,3-Mar
359,1753,f,3/4/2013,3574.606752,Winter,4-Mar
360,1753,f,3/5/2013,1232.224428,Winter,5-Mar
361,1753,f,3/6/2013,1644.118987,Winter,6-Mar
362,1753,f,3/7/2013,718.4268557,Winter,7-Mar
363,1753,f,3/8/2013,1485.182907,Winter,8-Mar
364,1753,f,3/9/2013,3133.596043,Winter,9-Mar
365,1753,f,3/10/2013,1110.471603,Winter,10-Mar
366,1753,f,3/11/2013,709.3070796,Winter,11-Mar
367,1753,f,3/12/2013,599.5756451,Winter,12-Mar
368,1753,f,3/13/2013,700.8043423,Winter,13-Mar
369,1753,f,3/14/2013,235.0793967,Winter,14-Mar
370,1753,f,3/15/2013,801.9767454,Winter,15-Mar
371,1753,f,3/16/2013,718.2509011,Winter,16-Mar
372,1753,f,3/17/2013,1006.648352,Winter,17-Mar
373,1753,f,3/18/2013,494.8551238,Winter,18-Mar
374,1753,f,3/19/2013,14.59011133,Winter,19-Mar
375,1753,f,3/20/2013,211.4349052,Winter,20-Mar
376,1753,f,3/21/2013,40.71190981,Spring,21-Mar
377,1753,f,3/23/2013,0,Spring,23-Mar
378,1753,f,3/24/2013,23.92792051,Spring,24-Mar
379,1753,f,3/25/2013,3.417263956,Spring,25-Mar
380,1753,f,3/26/2013,0,Spring,26-Mar
381,1753,f,3/28/2013,0,Spring,28-Mar
382,1753,f,3/29/2013,0,Spring,29-Mar
383,1753,f,3/30/2013,0,Spring,30-Mar
384,1753,f,3/31/2013,107.0292313,Spring,31-Mar
385,1753,f,4/1/2013,316.3827962,Spring,1-Apr
386,1753,f,4/2/2013,171.8288562,Spring,2-Apr
387,1753,f,4/3/2013,10.97116124,Spring,3-Apr
388,1753,f,4/4/2013,0,Spring,4-Apr
389,1753,f,4/5/2013,159.5175456,Spring,5-Apr
390,1753,f,4/6/2013,131.9736314,Spring,6-Apr
391,1753,f,4/7/2013,111.1333486,Spring,7-Apr
392,1753,f,4/8/2013,22.26928703,Spring,8-Apr
393,1753,f,4/9/2013,75.73953248,Spring,9-Apr
394,1753,f,4/11/2013,170.758129,Spring,11-Apr
395,1753,f,4/12/2013,50.73851767,Spring,12-Apr
396,1753,f,4/13/2013,131.6426872,Spring,13-Apr
397,1753,f,4/14/2013,232.7106769,Spring,14-Apr
398,1753,f,4/15/2013,241.7424054,Spring,15-Apr
399,1753,f,4/16/2013,157.9285105,Spring,16-Apr
400,1753,f,4/19/2013,67.61561221,Spring,19-Apr
401,1753,f,4/20/2013,5.473903959,Spring,20-Apr
402,1753,f,4/21/2013,187.8626034,Spring,21-Apr
403,1753,f,4/22/2013,613.9851033,Spring,22-Apr
404,1753,f,4/23/2013,330.7893036,Spring,23-Apr
405,1753,f,4/24/2013,46.58408499,Spring,24-Apr
406,1753,f,4/25/2013,317.1044564,Spring,25-Apr
407,1753,f,4/26/2013,139.3537893,Spring,26-Apr
408,1753,f,4/27/2013,508.8463203,Spring,27-Apr
409,1753,f,4/28/2013,713.1703451,Spring,28-Apr
410,1753,f,4/29/2013,522.057878,Spring,29-Apr
411,1753,f,4/30/2013,425.3959875,Spring,30-Apr
412,1753,f,5/1/2013,1049.32766,Spring,1-May
413,1753,f,5/2/2013,448.9855989,Spring,2-May
414,1753,f,5/3/2013,1582.178638,Spring,3-May
415,1753,f,5/4/2013,1886.490294,Spring,4-May
416,1753,f,5/5/2013,1871.503492,Spring,5-May
417,1753,f,5/6/2013,1164.35313,Spring,6-May
418,1753,f,5/7/2013,453.2883169,Spring,7-May
419,1753,f,5/8/2013,1484.772296,Spring,8-May
420,1753,f,5/9/2013,1968.914712,Spring,9-May
421,1754,NULL,9/1/2012,0,Summer,1-Sep
422,1754,NULL,9/2/2012,499.5199965,Summer,2-Sep
423,1754,NULL,9/3/2012,381.8744254,Summer,3-Sep
424,1754,NULL,9/4/2012,469.5933424,Summer,4-Sep
425,1754,NULL,9/5/2012,1182.880192,Summer,5-Sep
426,1754,NULL,9/6/2012,1665.33165,Summer,6-Sep
427,1754,NULL,9/7/2012,879.0209391,Summer,7-Sep
428,1754,NULL,9/8/2012,991.4351718,Summer,8-Sep
429,1754,NULL,9/9/2012,1563.735935,Summer,9-Sep
430,1754,NULL,9/10/2012,305.6660162,Summer,10-Sep
431,1754,NULL,9/11/2012,303.9116574,Summer,11-Sep
432,1754,NULL,9/12/2012,1681.983072,Summer,12-Sep
433,1754,NULL,9/13/2012,2227.72894,Summer,13-Sep
434,1754,NULL,9/14/2012,2795.92639,Summer,14-Sep
435,1754,NULL,9/15/2012,6304.936433,Summer,15-Sep
436,1754,NULL,9/16/2012,2018.031901,Summer,16-Sep
437,1754,NULL,9/17/2012,639.1668065,Summer,17-Sep
438,1754,NULL,9/18/2012,462.3794237,Summer,18-Sep
439,1754,NULL,9/19/2012,502.1724397,Summer,19-Sep
440,1754,NULL,9/20/2012,172.0814305,Summer,20-Sep
441,3892,f,6/27/2014,7820.736445,Summer,27-Jun
442,3892,f,6/28/2014,5083.311862,Summer,28-Jun
443,3892,f,6/29/2014,4873.171731,Summer,29-Jun
444,3892,f,6/30/2014,5580.797699,Summer,30-Jun
445,3892,f,7/1/2014,5261.050557,Summer,1-Jul
446,3892,f,7/2/2014,9619.541747,Summer,2-Jul
447,3892,f,7/3/2014,6766.045044,Summer,3-Jul
448,3892,f,7/4/2014,7559.485144,Summer,4-Jul
449,3892,f,7/5/2014,6842.883295,Summer,5-Jul
450,3892,f,7/6/2014,7397.494292,Summer,6-Jul
451,3892,f,7/7/2014,6245.190535,Summer,7-Jul
452,3892,f,7/8/2014,9367.789264,Summer,8-Jul
453,3892,f,7/9/2014,6752.707126,Summer,9-Jul
454,3892,f,7/10/2014,11615.42932,Summer,10-Jul
455,3892,f,7/11/2014,8742.399977,Summer,11-Jul
456,3892,f,7/12/2014,9544.914391,Summer,12-Jul
457,3892,f,7/13/2014,7645.149967,Summer,13-Jul
458,3892,f,7/14/2014,5966.733448,Summer,14-Jul
459,3892,f,7/15/2014,6941.820634,Summer,15-Jul
460,3892,f,7/16/2014,6843.210759,Summer,16-Jul
461,3892,f,7/17/2014,8816.362012,Summer,17-Jul
462,3892,f,7/18/2014,5820.063414,Summer,18-Jul
